fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221120 073736	2313	1148817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	181	1	1	1	0.1	50	0.5	FALSE	987353	0.104426171140803	0.827285463892622	0.664834120080923	10.2171287223318	0.00151757828204603	16130	41740000	1
20221120 081214	2313	1148817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	501	1	1	1	0.1	50	0.5	FALSE	987353	0.19105877499278	0.474807448181673	0.299456461887166	7.7389015089866	0.00694630011745838	17920	39440000	2
20221120 084013	2313	1148817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	228	1	1	1	0.1	50	0.5	FALSE	987353	0.081278377117269	0.336499478993937	0.73189566965375	11.3095287864562	0.000288162344857153	18000	40080000	3
20221120 085122	2313	1148817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	137	1	1	1	0.1	50	0.5	FALSE	987353	0.208267339799277	0.701110641936248	0.503189850148192	4.73630441329442	0.0198061746521955	17768	41344000	4
20221120 091408	2313	1148817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	344	1	1	1	0.1	50	0.5	FALSE	987353	0.236739834042965	0.30236153392616	0.417356330370967	8.18522165041941	0.00355017697692857	15544	41072000	5
20221120 094444	2313	1148817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	710	1	1	1	0.1	50	0.5	FALSE	987353	0.042712638144003	0.734791432275961	0.934852026676526	3.53807735073497	0.0202504140967935	18054	40292000	6
20221120 101845	2313	1148817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	384	1	1	1	0.1	50	0.5	FALSE	987353	0.25078739419725	0.45065604969277	0.996004931773496	8.80354491385515	1.4757882175145e-05	17900	38440000	7
20221120 114235	2313	1148817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1790	1	1	1	0.1	50	0.5	FALSE	987353	0.15049422630349	0.573354238072352	0.403420604515122	2.62006578494038	0.0252768561602466	14636	40968000	8
20221120 134750	2313	1148817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1753	1	1	1	0.1	50	0.5	FALSE	987353	0.0315925613149739	0.520421601501585	0.161262967553921	11.8519744346268	1.6716357916761e-05	17143	40674000	9
20221120 135656	2313	1148817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	78	1	1	1	0.1	50	0.5	FALSE	987353	0.291371209971767	0.628192643575312	0.241797656023846	6.61631745385239	0.0168780269494366	18388	40024000	10
20221120 141849	2313	1148817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	596	1	1	1	0.1	50	0.5	FALSE	987353	0.0738572214976739	0.872693594825978	0.191471492482378	5.51986452731944	0.0170536044691993	18873	40654000	11
20221120 145803	2313	1148817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	419	1	1	1	0.1	50	0.5	FALSE	987353	0.0173371415004658	0.410627550522622	0.528714349203801	6.09163013024954	0.0207219788384023	17185	42110000	12
20221120 153641	2313	1148817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1003	1	1	1	0.1	50	0.5	FALSE	987353	0.185056627866652	0.277057464132668	0.0863126981457754	4.40168323394028	0.0235210693388911	15713	41854000	13
20221120 161255	2313	1148817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1621	1	1	1	0.1	50	0.5	FALSE	987353	0.264045877372118	0.808848703185504	0.838824396574637	1.84181695267034	0.0233886102756384	15629	41622000	14
20221120 172437	2313	1148817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2429	1	1	1	0.1	50	0.5	FALSE	987353	0.118683640589879	0.206078420253471	0.77747608862046	1.50781757001823	0.017302100863121	18783	35474000	15
20221120 180020	2313	1148817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	332	1	1	1	0.1	50	0.5	FALSE	987353	0.168324375313969	0.646304153569508	0.592494189405988	9.87295773094229	4.26202875784376e-05	14993	41694000	16
20221120 213949	2313	1148817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2177	1	1	1	0.1	50	0.5	FALSE	987353	0.00580802912198953	0.404618330868833	0.531683829620706	11.9883782503278	0.000459877021555033	19195	39850000	17
20221120 215255	2313	1148817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	547	1	1	1	0.1	50	0.5	FALSE	987353	0.280232322193659	0.868322052349592	0.855349276281742	1.44033353963005	0.0196032557038548	17132	36616000	18
20221120 221659	2313	1148817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	125	1	1	1	0.1	50	0.5	FALSE	987353	0.146035270630625	0.793309097502732	0.599635656377504	10.0490204367419	0.00268105999901859	16026	41308000	19
20221120 232203	2313	1148817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	967	1	1	1	0.1	50	0.5	FALSE	987353	0.0283303678503577	0.57204436154411	0.298265384455324	5.98155209204015	0.0163954203710746	19714	39932000	20
20221121 000637	2313	1148817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	631	1	1	1	0.1	50	0.5	FALSE	987353	0.0523134427535967	0.443745072687154	0.650213809840002	6.15353818037848	0.0161758150601266	18918	40804000	21
20221121 002449	2313	1148817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	158	1	1	1	0.1	50	0.5	FALSE	987353	0.273885090666368	0.319390283952374	0.512682465169195	9.53075174185983	0.000313285554172027	19480	33840000	22
20221121 004515	2313	1148817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	250	1	1	1	0.1	50	0.5	FALSE	987353	0.200198578564859	0.442038429394808	0.27231959190911	4.51026956862089	0.0179192682485808	18544	40192000	23
20221121 005810	2313	1148817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	181	1	1	1	0.1	50	0.5	FALSE	987353	0.20322518094913	0.639197901545418	0.864982291966386	3.55056617308105	0.0195504583855181	18684	39912000	24
20221121 012110	2313	1148817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	417	1	1	1	0.1	50	0.5	FALSE	987353	0.130783894144225	0.294138634677752	0.30328259203498	4.31840801823031	0.0205784760252857	17044	41432000	25
20221121 013505	2313	1148817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	228	1	1	1	0.1	50	0.5	FALSE	987353	0.232262208004617	0.224576058008448	0.142511586909318	6.08509735168658	0.0167236100317069	18354	39692000	26
20221121 014449	2313	1148817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	346	1	1	1	0.1	50	0.5	FALSE	987353	0.1958984904641	0.883109817133609	0.0502001965160724	4.34853415862506	0.0192249482636264	17359	40162000	27
20221121 024326	2313	1148817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	550	1	1	1	0.1	50	0.5	FALSE	987353	0.0367109906014244	0.801878988360775	0.813724334194328	9.92934670490019	0.00126057661963499	18370	39980000	28
20221121 030816	2313	1148817	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	270	1	1	1	0.1	50	0.5	FALSE	987353	0.233648347359558	0.335938669951207	0.520453312738289	10.1620450939693	1.68559991778887e-05	15804	39992000	29
