fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221120 053036	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	189	1	1	1	0.1	50	0.5	FALSE	987353	0.170691385313912	0.680415952460316	0.321093584939081	10.1542819010501	0.00220330030219838	16998	43444000	1
20221120 054817	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	607	1	1	1	0.1	50	0.5	FALSE	987353	0.0615632250373164	0.396765614683682	0.513918345652201	4.91248734526744	0.0225670190166797	17463	46034000	2
20221120 060840	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	723	1	1	1	0.1	50	0.5	FALSE	987353	0.0806619887133274	0.776743975804129	0.697457183394727	9.6372336227505	8.39981946455883e-05	15908	44904000	3
20221120 061145	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	147	1	1	1	0.1	50	0.5	FALSE	987353	0.240794545514727	0.710386834545352	0.116975087744504	7.3523343475681	0.0192358075987298	17278	44004000	4
20221120 063448	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	955	1	1	1	0.1	50	0.5	FALSE	987353	0.212821604095443	0.54290867086238	0.580263293736789	2.79230961877329	0.022684088306575	17918	43924000	5
20221120 070642	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1220	1	1	1	0.1	50	0.5	FALSE	987353	0.0299413130543689	0.358742988396261	0.25784852914876	8.82172655628528	0.0130070969307742	17509	45142000	6
20221120 071455	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	376	1	1	1	0.1	50	0.5	FALSE	987353	0.184916967149402	0.594251851412992	0.936644604449975	6.04361048626015	0.0173040018541596	16847	45266000	7
20221120 073305	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	808	1	1	1	0.1	50	0.5	FALSE	987353	0.144976405172347	0.276804876580718	0.773111082973628	4.41702464225818	0.0208464594922194	17844	45032000	8
20221120 073718	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	120	1	1	1	0.1	50	0.5	FALSE	987353	0.131674933507747	0.812906470053713	0.410825411222322	6.67504834184365	0.0251056330822386	15349	47542000	9
20221120 075606	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	458	1	1	1	0.1	50	0.5	FALSE	987353	0.114706078846502	0.298454173348728	0.604520679309644	11.1351239322248	2.91925916102873e-06	15878	44884000	10
20221120 080948	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	422	1	1	1	0.1	50	0.5	FALSE	987353	0.26520063056756	0.432088241478777	0.205339565201575	3.63542031879479	0.0178201908845507	19851	41738000	11
20221120 092734	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2663	1	1	1	0.1	50	0.5	FALSE	987353	0.0175897490649368	0.554277562919015	0.948391800480022	5.2688715679833	0.0201889768162634	18188	46024000	12
20221120 093314	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	654	1	1	1	0.1	50	0.5	FALSE	987353	0.245154928097181	0.730866728506226	0.705974826073361	1.20646366129222	0.0154872772941857	20066	37068000	13
20221120 120321	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6801	1	1	1	0.1	50	0.5	FALSE	987353	0.0546749063728203	0.504970577206404	0.374826973368181	1.97159006145375	0.01433031858112	21472	37776000	14
20221120 122637	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	812	1	1	1	0.1	50	0.5	FALSE	987353	0.299448678200715	0.211929259524914	0.8378266001062	8.17249374867242	4.65953721806187e-06	16539	42122000	15
20221120 123734	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	267	1	1	1	0.1	50	0.5	FALSE	987353	0.195266731262527	0.890296069500619	0.0991158771357732	11.8323250509566	0.000384701959623127	18161	39598000	16
20221120 125631	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1091	1	1	1	0.1	50	0.5	FALSE	987353	0.0321737619973971	0.778110692064668	0.403065784527418	6.61541161315671	0.0232238891855396	15939	46682000	17
20221120 125925	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	37	1	1	1	0.1	50	0.5	FALSE	987353	0.298531603813332	0.899614735655006	0.30338077845104	6.59707567078514	0.0212826551840042	16553	45614000	18
20221120 131317	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	676	1	1	1	0.1	50	0.5	FALSE	987353	0.124509265668643	0.899964996890627	0.911780156214539	6.76953478617042	0.00829212026579268	17131	44298000	19
20221120 131824	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	176	1	1	1	0.1	50	0.5	FALSE	987353	0.170747372599217	0.744892873199514	0.549234715669291	6.02637399356783	0.0200250869799782	18111	45298000	20
20221120 132738	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	216	1	1	1	0.1	50	0.5	FALSE	987353	0.139534547432012	0.334226151806911	0.410635006640715	6.73115352393579	0.0211473824579149	17332	45736000	21
20221120 133309	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	206	1	1	1	0.1	50	0.5	FALSE	987353	0.119269903234928	0.897828546937163	0.391431656743979	6.8779807901295	0.0213235320406628	16886	46308000	22
20221120 134406	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1083	1	1	1	0.1	50	0.5	FALSE	987353	0.134326889959565	0.740192016012332	0.16403902397338	6.61985741498863	0.0229290067147913	15418	47564000	23
20221120 134906	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	204	1	1	1	0.1	50	0.5	FALSE	987353	0.144681215040567	0.699488021799228	0.349273119770561	6.62809418863102	0.0228174637848161	16408	47024000	24
20221120 135402	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	435	1	1	1	0.1	50	0.5	FALSE	987353	0.125883471739836	0.823575982893672	0.0775791430437591	6.65607408175048	0.0222490547785231	16808	45824000	25
20221120 140230	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	733	1	1	1	0.1	50	0.5	FALSE	987353	0.126576440655074	0.809211969911453	0.209236951240866	6.41759271996676	0.0185622320477581	18443	44714000	26
20221120 140732	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	322	1	1	1	0.1	50	0.5	FALSE	987353	0.157853519952398	0.664273220737169	0.183557530581503	6.72797848254575	0.0197670944303667	17119	46802000	27
20221120 142438	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	512	1	1	1	0.1	50	0.5	FALSE	987353	0.114787397858488	0.459350928740465	0.782867540219595	5.01206904702001	0.0199494160171547	18274	45532000	28
20221120 143207	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	508	1	1	1	0.1	50	0.5	FALSE	987353	0.0693988343957475	0.842132663043605	0.228070344762779	6.65454599515942	0.0209217762044672	17033	45694000	29
20221120 143520	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	36	1	1	1	0.1	50	0.5	FALSE	987353	0.249789163087272	0.764411080208812	0.400852078846447	6.75395997231435	0.0216356655253463	16660	45640000	30
20221120 144323	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	397	1	1	1	0.1	50	0.5	FALSE	987353	0.129227863606578	0.875991442446668	0.506140741544941	6.60924892840862	0.0206951325934828	16241	46398000	31
20221120 145745	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	457	1	1	1	0.1	50	0.5	FALSE	987353	0.187087531907908	0.470799903702805	0.147297375487183	6.59895909678016	0.018377688476394	18457	44846000	32
20221120 150305	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	203	1	1	1	0.1	50	0.5	FALSE	987353	0.118452145911683	0.754108858850368	0.392837220181996	6.74319389390659	0.0208434076351583	17424	46032000	33
20221120 150912	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	244	1	1	1	0.1	50	0.5	FALSE	987353	0.0850926692415574	0.898049243596302	0.435567920921073	6.55473923692074	0.0247981103354179	15482	47676000	34
20221120 154545	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3012	1	1	1	0.1	50	0.5	FALSE	987353	0.00643021571987977	0.879661103188249	0.169716332544971	7.04834769115612	0.0199125657576697	17688	45984000	35
20221120 155116	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	178	1	1	1	0.1	50	0.5	FALSE	987353	0.101841094598068	0.898151852055369	0.422721989037343	7.07286112093803	0.0182147779770874	18656	45408000	36
