fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221120 024712	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	164	1	1	1	0.1	50	0.5	FALSE	987353	0.170691385313912	0.680415952460316	0.321093584939081	10.1542819010501	0.00242415785671311	18536	41728000	1
20221120 030926	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	938	1	1	1	0.1	50	0.5	FALSE	987353	0.0615632250373164	0.396765614683682	0.513918345652201	4.91248734526744	0.0211167146511656	17892	45976000	2
20221120 033033	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	798	1	1	1	0.1	50	0.5	FALSE	987353	0.0806619887133274	0.776743975804129	0.697457183394727	9.6372336227505	5.68677027648624e-05	15788	45224000	3
20221120 033416	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	257	1	1	1	0.1	50	0.5	FALSE	987353	0.240794545514727	0.710386834545352	0.116975087744504	7.3523343475681	0.0207842346772902	16334	43892000	4
20221120 035045	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	633	1	1	1	0.1	50	0.5	FALSE	987353	0.212821604095443	0.54290867086238	0.580263293736789	2.79230961877329	0.0258316563958998	15899	44842000	5
20221120 041541	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	998	1	1	1	0.1	50	0.5	FALSE	987353	0.0299413130543689	0.358742988396261	0.25784852914876	8.82172655628528	0.0137629652291505	18337	45886000	6
20221120 042235	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	116	1	1	1	0.1	50	0.5	FALSE	987353	0.184916967149402	0.594251851412992	0.936644604449975	6.04361048626015	0.0220637182622528	17100	45720000	7
20221120 044114	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	972	1	1	1	0.1	50	0.5	FALSE	987353	0.144976405172347	0.276804876580718	0.773111082973628	4.41702464225818	0.0220338061872351	17157	44806000	8
20221120 045716	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1334	1	1	1	0.1	50	0.5	FALSE	987353	0.131674933507747	0.812906470053713	0.410825411222322	6.67504834184365	0.00691320078066114	18313	43054000	9
20221120 051319	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	489	1	1	1	0.1	50	0.5	FALSE	987353	0.114706078846502	0.298454173348728	0.604520679309644	11.1351239322248	1.93244389141207e-06	16675	43450000	10
20221120 052613	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	519	1	1	1	0.1	50	0.5	FALSE	987353	0.26520063056756	0.432088241478777	0.205339565201575	3.63542031879479	0.0222563722588173	17548	43464000	11
20221120 063734	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2772	1	1	1	0.1	50	0.5	FALSE	987353	0.0175897490649368	0.554277562919015	0.948391800480022	5.2688715679833	0.0207551365935385	17517	46646000	12
20221120 064303	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	925	1	1	1	0.1	50	0.5	FALSE	987353	0.245154928097181	0.730866728506226	0.705974826073361	1.20646366129222	0.0164193829352642	19072	38816000	13
20221120 081100	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4693	1	1	1	0.1	50	0.5	FALSE	987353	0.0546749063728203	0.504970577206404	0.374826973368181	1.97159006145375	0.021320618482963	16548	42504000	14
20221120 082659	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	798	1	1	1	0.1	50	0.5	FALSE	987353	0.299448678200715	0.211929259524914	0.8378266001062	8.17249374867242	7.14773233862214e-06	15998	41444000	15
20221120 083910	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	640	1	1	1	0.1	50	0.5	FALSE	987353	0.195266731262527	0.890296069500619	0.0991158771357732	11.8323250509566	3.57150550811427e-06	16412	42696000	16
20221120 085512	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	502	1	1	1	0.1	50	0.5	FALSE	987353	0.109051432782129	0.52381034799895	0.76896494500236	5.11779702203583	0.0191503705248486	18685	45030000	17
20221120 094104	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2191	1	1	1	0.1	50	0.5	FALSE	987353	0.030660111919488	0.361198586940623	0.51453308431269	5.9817565485993	0.0215869138860851	16609	46542000	18
20221120 105346	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2881	1	1	1	0.1	50	0.5	FALSE	987353	0.00768049313026694	0.382213313331075	0.840279827875268	7.05917487170048	0.0196926539345064	17403	46474000	19
20221120 113853	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1364	1	1	1	0.1	50	0.5	FALSE	987353	0.0123123099355065	0.560608984343211	0.924568410115642	6.82107011337087	0.0212255308638925	17112	46496000	20
20221120 123837	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2150	1	1	1	0.1	50	0.5	FALSE	987353	0.0105380922556173	0.568296734523559	0.44520011364279	5.56252748093597	0.0242338575183191	16337	46926000	21
20221120 125150	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	375	1	1	1	0.1	50	0.5	FALSE	987353	0.18209534794714	0.561783630845894	0.447473492884831	5.87363194608811	0.0240002710597302	15629	47382000	22
20221120 130607	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	538	1	1	1	0.1	50	0.5	FALSE	987353	0.285770449521254	0.562331227871179	0.0564653420143773	5.81708788784523	0.0200765861715657	18328	44064000	23
20221120 131905	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	340	1	1	1	0.1	50	0.5	FALSE	987353	0.167594860440031	0.563280969270723	0.614068288281117	5.91273531411428	0.0191766378535843	17565	46070000	24
20221120 132734	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	374	1	1	1	0.1	50	0.5	FALSE	987353	0.202475890330962	0.215580437472226	0.454418475195538	5.70562124465989	0.0217133397180941	17065	45710000	25
20221120 133801	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	243	1	1	1	0.1	50	0.5	FALSE	987353	0.11029046620136	0.493878118220381	0.462301220268712	6.71038572036101	0.0204814420910356	17357	45686000	26
20221120 135146	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	507	1	1	1	0.1	50	0.5	FALSE	987353	0.192590790759312	0.500768864627296	0.109556057643067	5.3847578718499	0.0194938163711457	18580	45320000	27
20221120 140016	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	168	1	1	1	0.1	50	0.5	FALSE	987353	0.196224504747542	0.535607794107634	0.486881780388734	5.53819343537916	0.0199409583497101	18263	44594000	28
20221120 140447	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	276	1	1	1	0.1	50	0.5	FALSE	987353	0.142881887826475	0.755841998660592	0.446225666946225	4.73734426557444	0.0218416860743591	17605	45190000	29
20221120 141034	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	106	1	1	1	0.1	50	0.5	FALSE	987353	0.290055200241805	0.59779859656692	0.443465532185113	6.18361875398533	0.0188342341216104	18852	44296000	30
20221120 143109	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	899	1	1	1	0.1	50	0.5	FALSE	987353	0.183628911435342	0.567963148897166	0.126377075152449	3.96476465083407	0.0262263070139103	15493	43414000	31
20221120 143920	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	125	1	1	1	0.1	50	0.5	FALSE	987353	0.186750275410753	0.559418976124904	0.593611867081292	6.52309788145583	0.0216508672125104	16934	47092000	32
20221120 145522	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	422	1	1	1	0.1	50	0.5	FALSE	987353	0.183595900624476	0.561430242673127	0.455547951616578	8.7951818330729	0.00130470893571938	16970	42700000	33
20221120 151252	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	629	1	1	1	0.1	50	0.5	FALSE	987353	0.131126761915789	0.48211102408521	0.445045005013689	5.65595015495158	0.0215477159226751	17066	46268000	34
20221120 152046	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	209	1	1	1	0.1	50	0.5	FALSE	987353	0.181794298258423	0.405088994176755	0.142462436228891	6.24102451968435	0.0190108549853739	19137	43406000	35
20221120 153746	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	522	1	1	1	0.1	50	0.5	FALSE	987353	0.0481147317820728	0.580480940053237	0.421872818880038	5.84727798870897	0.0217570056167146	17322	46476000	36
