fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221121 212425	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	79	1	1	1	0.1	50	0.5	FALSE	987353	0.170691385313912	0.680415952460316	0.321093584939081	10.1542819010501	0.00922670871486433	17241	44638000	1
20221121 215323	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	491	1	1	1	0.1	50	0.5	FALSE	987353	0.0615632250373164	0.396765614683682	0.513918345652201	4.91248734526744	0.0218132051609626	17519	46162000	2
20221122 022251	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	548	1	1	1	0.1	50	0.5	FALSE	987353	0.0806619887133274	0.776743975804129	0.697457183394727	9.6372336227505	0.000151820293479841	18022	44356000	3
20221122 024253	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	193	1	1	1	0.1	50	0.5	FALSE	987353	0.240794545514727	0.710386834545352	0.116975087744504	7.3523343475681	0.0218670641730985	16035	45610000	4
20221122 030009	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	264	1	1	1	0.1	50	0.5	FALSE	987353	0.212821604095443	0.54290867086238	0.580263293736789	2.79230961877329	0.0214397845074512	18373	43254000	5
20221122 035622	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1204	1	1	1	0.1	50	0.5	FALSE	987353	0.0299413130543689	0.358742988396261	0.25784852914876	8.82172655628528	0.0109032990446648	19065	43550000	6
20221122 043714	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	115	1	1	1	0.1	50	0.5	FALSE	987353	0.184916967149402	0.594251851412992	0.936644604449975	6.04361048626015	0.0215783536695882	17413	45334000	7
20221122 045136	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	209	1	1	1	0.1	50	0.5	FALSE	987353	0.144976405172347	0.276804876580718	0.773111082973628	4.41702464225818	0.0213802869886153	17983	44354000	8
20221122 053145	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	145	1	1	1	0.1	50	0.5	FALSE	987353	0.131674933507747	0.812906470053713	0.410825411222322	6.67504834184365	0.01883268551462	18652	43496000	9
20221122 055037	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	83	1	1	1	0.1	50	0.5	FALSE	987353	0.114706078846502	0.298454173348728	0.604520679309644	11.1351239322248	0.00548934359422014	17972	44056000	10
20221122 061538	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	487	1	1	1	0.1	50	0.5	FALSE	987353	0.26520063056756	0.432088241478777	0.205339565201575	3.63542031879479	0.020517160366507	19087	42466000	11
20221122 074857	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1408	1	1	1	0.1	50	0.5	FALSE	987353	0.0175897490649368	0.554277562919015	0.948391800480022	5.2688715679833	0.0192568200120159	19112	44576000	12
20221122 083329	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	883	1	1	1	0.1	50	0.5	FALSE	987353	0.245154928097181	0.730866728506226	0.705974826073361	1.20646366129222	0.0191428550151662	17821	38038000	13
20221122 101324	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2445	1	1	1	0.1	50	0.5	FALSE	987353	0.0546749063728203	0.504970577206404	0.374826973368181	1.97159006145375	0.0217061189280207	16735	41490000	14
20221122 102812	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	208	1	1	1	0.1	50	0.5	FALSE	987353	0.299448678200715	0.211929259524914	0.8378266001062	8.17249374867242	0.00151077765347938	18849	41022000	15
20221122 112147	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	205	1	1	1	0.1	50	0.5	FALSE	987353	0.195266731262527	0.890296069500619	0.0991158771357732	11.8323250509566	0.000744681981348784	18032	40816000	16
20221122 115444	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	631	1	1	1	0.1	50	0.5	FALSE	987353	0.113429662354679	0.391316818888338	0.406918114526386	5.6582767841077	0.0186208922497707	18522	44636000	17
20221122 120809	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	97	1	1	1	0.1	50	0.5	FALSE	987353	0.276706822207408	0.421627993999298	0.717097911770931	4.94590931944596	0.0221826881743121	17147	45786000	18
20221122 125956	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1258	1	1	1	0.1	50	0.5	FALSE	987353	0.145631318316447	0.443684023158367	0.0791676106698517	4.89883550727577	0.0205972952907151	18997	42806000	19
20221122 133343	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	38	1	1	1	0.1	50	0.5	FALSE	987353	0.204746157117785	0.612043906080433	0.569664729676319	7.49520232971423	0.0173223089279229	18750	44260000	20
